ModuleCode,Age,Average
GAV4017,48,13.63636364
GAV4017,67,4.545454545
GAV4017,64,42.85714286
GAV4017,27,9.090909091
GAV4017,33,56.52173913
GAV4017,59,79.16666667
GAV4017,29,58.33333333
GAV4017,42,59.09090909
GAV4017,58,73.91304348
GAV4017,28,43.47826087
GAV4017,62,56.52173913
GAV4017,49,82.35294118
GAV4017,55,87.5
GAV4017,32,45.83333333
GAV4017,25,18.18181818
GAV4017,50,31.81818182
GAV4017,46,79.16666667
GAV4017,41,13.63636364
GAV4017,30,90.90909091
GAV4028,19,70.98765432
GAV4028,18,63.15789474
GAV4028,21,53.02325581
GAV4028,65,70.37037037
GAV4028,61,55.55555556
GAV4028,20,58.5106383
GAV4028,69,44.44444444
GAV4028,48,33.33333333
GAV4028,29,51.85185185
GAV4028,28,50
GAV4028,51,43.39622642
GAV4028,22,83.33333333
GAV4028,49,92.59259259
GAV4028,32,51.85185185
GAV4028,64,70.37037037
GAV4028,62,44.44444444
GAV4028,66,75.30864198
GAV4028,25,55.55555556
GAV4028,58,74.07407407
GAV4028,46,70.37037037
GAV4028,30,100
MED3055,18,73.52941176
MED3055,22,76
MED3055,19,50
MED3055,20,81.90954774
MED3055,21,85.27131783
MED3055,45,84
MED3055,50,60
MED3055,65,40
MED3055,57,84
MED3055,58,60
MED3030,18,66.66666667
MED3030,22,82.29166667
MED3030,19,49.46236559
MED3030,20,65.27777778
MED3030,21,75.52083333
MED3030,45,70.83333333
MED3030,50,54.16666667
MED3030,40,79.16666667
MED3030,65,10
MED3030,68,62.5
MED3030,57,66.66666667
MED3030,58,50
MED3030,43,70.83333333
MED3030,29,75
MPR3002,18,80.28169014
MPR3002,19,31.81818182
MPR3002,20,77.14285714
MPR3002,21,73.91304348
MPR3002,50,65.2173913
MPR3002,57,50
MPR3002,58,0
MPR3002,22,100
MPR3002,43,78.26086957
MPR3002,29,73.91304348
MED0008,18,10
MED0008,19,34.93975904
MED0008,36,30
MED0008,20,46.42857143
MED0008,21,47.91666667
MED0008,45,50
MED0008,22,53.125
MED0008,50,0
MED0008,57,0
MED0008,58,0
MED0008,40,100
MED0008,49,5.263157895
MED0008,66,90
MED0008,32,55
MED0008,46,100
MED0008,51,10.52631579
MED0008,29,70
COM3038,21,24
COM3038,19,77.41935484
COM3038,43,48
COM3038,54,76
COM3038,18,69.73180077
COM3038,60,66
COM3038,20,66.66666667
COM3038,22,72.84768212
COM3038,42,44
COM3038,63,72
COM3038,45,60
COM3038,31,40
COM3038,53,70
COM3038,52,84
COM3038,62,76
COM3038,61,52
COM3038,57,48
COM3038,67,48
COM3038,50,28
MUL3055,21,46.71532847
MUL3055,66,26.08695652
MUL3055,43,21.73913043
MUL3055,19,43.47826087
MUL3055,20,78.26086957
MUL3055,59,65.2173913
MUL3055,63,39.13043478
MUL3055,18,73.91304348
CIS0002,63,21.42857143
CIS0002,54,60
CIS0002,20,29.95951417
CIS0002,22,35
CIS0002,65,3.448275862
CIS0002,19,58
CIS0002,21,37.59398496
CIS0002,46,5.555555556
CIS0002,43,61.76470588
CIS0002,61,39.47368421
CIS0002,25,72.4137931
CIS0002,18,43.92857143
CIS0002,64,66.66666667
CIS0002,47,68.42105263
CIS0002,66,40.47619048
CIS0002,49,74.07407407
CIS0003,63,25
CIS0003,54,87.5
CIS0003,20,38.58695652
CIS0003,22,60.83333333
CIS0003,34,41.66666667
CIS0003,65,12.5
CIS0003,19,58.33333333
CIS0003,21,30.50847458
CIS0003,46,0
CIS0003,41,0
CIS0003,43,68.75
CIS0003,61,43.05555556
CIS0003,25,95.83333333
CIS0003,18,51.59574468
CIS0003,64,77.27272727
CIS0003,47,79.16666667
CIS0003,66,41.66666667
CIS0003,59,100
CIS0003,49,63.63636364
CIS0005,63,20
CIS0005,54,72.72727273
CIS0005,20,35.06493506
CIS0005,22,50.75757576
CIS0005,19,56.12244898
CIS0005,21,44.30379747
CIS0005,46,5
CIS0005,43,79.48717949
CIS0005,61,40.6779661
CIS0005,50,55
CIS0005,25,100
CIS0005,18,52.63157895
CIS0005,64,73.68421053
CIS0005,53,40
CIS0005,47,85
CIS0005,66,36.66666667
CIS0005,59,80
CIS0005,49,72.22222222
CIS0005,69,5.882352941
CIS4040,48,0
CIS4040,58,50
CIS4040,18,100
CIS4040,50,100
CIS4040,20,66.66666667
CIS4040,21,95.83333333
CIS4040,57,79.16666667
CIS4040,19,87.5
CIS4037,48,0
CIS4037,58,100
CIS4037,18,95.83333333
CIS4037,50,100
CIS4037,20,66.66666667
CIS4037,21,89.58333333
CIS4037,22,75
CIS4037,61,83.33333333
CIS4037,57,83.33333333
CIS4037,45,95.83333333
CIS4037,19,83.33333333
MFP2005,18,84.02777778
MFP2005,22,77.93103448
MFP2005,21,91.42857143
MFP2005,68,85.71428571
MFP2005,37,79.16666667
MFP2005,19,81.27853881
MFP2005,40,95.83333333
MFP2005,20,86.11111111
MFP2005,59,100
MFP2005,60,100
MFP2005,30,68
MFP2005,53,96
MFP2005,63,96
MFP2005,39,59.09090909
MFP2005,27,95.83333333
MFP2005,43,76
MFP2005,56,68
MFP2005,62,91.66666667
MFP2005,67,100
MFP2006,18,54.54545455
MFP2006,22,47.5
MFP2006,40,33.33333333
MFP2006,21,76.34408602
MFP2006,68,67.56756757
MFP2006,37,23.07692308
MFP2006,19,51.66666667
MFP2006,20,73.07692308
MFP2006,59,92.85714286
MFP2006,60,100
MFP2006,30,61.53846154
MFP2006,53,76.92307692
MFP2006,63,100
MFP2006,39,0
MFP2006,27,78.57142857
MFP2006,43,53.84615385
MFP2006,56,7.142857143
MFP2006,62,87.5
MFP2006,67,70.83333333
MFP2008,18,72.15189873
MFP2008,22,52
MFP2008,21,78.63636364
MFP2008,68,79.54545455
MFP2008,37,20
MFP2008,19,73.33333333
MFP2008,40,75
MFP2008,20,82.8125
MFP2008,59,85
MFP2008,60,100
MFP2008,30,65
MFP2008,53,85
MFP2008,63,90
MFP2008,39,10
MFP2008,27,85
MFP2008,43,50
MFP2008,56,20
MFP2008,62,100
MFP2008,67,95.83333333
GAV4037,43,57.69230769
GAV4037,53,88.46153846
GAV4037,21,72.82608696
GAV4037,19,42.67515924
GAV4037,22,37.14285714
GAV4037,20,45.25139665
GAV4037,57,61.53846154
GAV4037,18,46.34146341
GAV4037,36,47.05882353
GAV4037,45,73.07692308
GAV4037,69,50.98039216
GAV4037,67,44.44444444
GAV4037,64,18.51851852
GAV4037,42,59.25925926
GAV4038,43,39.13043478
GAV4038,53,90.90909091
GAV4038,21,62.98701299
GAV4038,19,40.54054054
GAV4038,22,39.56043956
GAV4038,20,38.46153846
GAV4038,57,65.2173913
GAV4038,18,44.61538462
GAV4038,36,61.53846154
GAV4038,45,52.17391304
GAV4038,69,41.46341463
GAV4038,67,57.14285714
GAV4038,64,4.347826087
GAV4038,42,50
CIS4008,19,31.81818182
CIS4008,44,81.81818182
CIS4008,58,100
CIS4008,18,91.66666667
CIS4008,20,92.5
CIS4008,21,72.22222222
CIS4008,22,81.25
CIS4008,69,31.81818182
CIS4008,45,100
CAM4017,20,94.87179487
CAM4017,18,100
CAM4017,22,100
CAM4017,60,100
CAM4017,67,100
CAM4017,36,100
CAM4017,65,100
CAM4017,21,100
GAV2021,54,71.69811321
GAV2021,19,50.65789474
GAV2021,20,53.24675325
GAV2021,22,51.95071869
GAV2021,30,46.42857143
GAV2021,64,23.07692308
GAV2021,18,57.31707317
GAV2021,21,56.96969697
GAV2021,51,84.61538462
GAV2021,56,38.46153846
GAV2021,52,54.12844037
GAV2021,45,75
GAV2021,57,47.27272727
GAV2021,44,63.63636364
GAV2021,68,55.55555556
GAV2021,24,66.66666667
GAV2021,59,88.88888889
GAV2021,38,25
GAV2021,62,17.85714286
GAV2021,58,59.25925926
GAV2021,40,53.57142857
GAV2021,61,96.42857143
GAV2021,37,66.66666667
GAV2011,54,82.69230769
GAV2011,19,51.30434783
GAV2011,22,51.20772947
GAV2011,30,51.85185185
GAV2011,64,29.62962963
GAV2011,18,54.58937198
GAV2011,21,57.89473684
GAV2011,51,60
GAV2011,56,19.23076923
GAV2011,20,57.03125
GAV2011,52,61.53846154
GAV2011,45,56
GAV2011,57,50
GAV2011,33,48
GAV2011,44,53.84615385
GAV2011,68,84.61538462
GAV2011,24,52
GAV2011,59,88.88888889
GAV2011,38,56
GAV2011,62,33.33333333
GAV2011,58,37.03703704
GAV2011,37,81.48148148
GAV2027,54,68.57142857
GAV2027,19,36.50306748
GAV2027,22,25.41254125
GAV2027,30,30.43478261
GAV2027,64,0
GAV2027,18,45.23809524
GAV2027,21,40.22140221
GAV2027,51,50
GAV2027,56,22.72727273
GAV2027,20,41.07142857
GAV2027,52,30.88235294
GAV2027,45,55
GAV2027,57,30.76923077
GAV2027,33,66.66666667
GAV2027,44,36.84210526
GAV2027,68,55
GAV2027,24,40
GAV2027,59,100
GAV2027,38,33.33333333
GAV2027,62,13.63636364
GAV2027,58,8.333333333
GAV2027,37,58.33333333
CIS4023,44,91.66666667
CIS4023,19,71.83098592
CIS4023,22,72.72727273
CIS4023,18,74.46808511
CIS4023,21,66.66666667
CIS4023,20,54.05405405
CIS4023,50,100
CIS4023,57,83.33333333
CAM4039,19,29.16666667
CAM4039,22,100
CAM4039,20,87.5
CAM4039,36,83.33333333
CAM4039,54,91.66666667
CAM4039,48,79.16666667
CAM4039,40,95.83333333
CAM4039,18,91.66666667
CAM4039,21,75
CAM4037,19,50
CAM4037,64,75
CAM4037,22,88.46153846
CAM4037,20,66.66666667
CAM4037,36,58.33333333
CAM4037,21,70.1754386
CAM4037,54,70.83333333
CAM4037,43,25
CAM4037,28,75
CAM4037,48,83.33333333
CAM4037,40,87.5
CAM4037,18,87.5
CAM4040,19,8.333333333
CAM4040,20,53.84615385
CAM4040,36,78.57142857
CAM4040,54,53.84615385
CAM4040,48,87.5
CAM4040,40,100
CAM4040,18,100
CAM4040,21,53.84615385
GAV2005,69,65.85365854
GAV2005,19,53.84615385
GAV2005,51,60
GAV2005,18,56.95067265
GAV2005,21,55.30973451
GAV2005,44,5.555555556
GAV2005,30,36.11111111
GAV2005,52,58.69565217
GAV2005,59,0
GAV2005,32,83.33333333
GAV2005,67,16.66666667
GAV2005,33,50
GAV2005,22,58.25242718
GAV2005,65,58.33333333
GAV2005,20,44.82758621
GAV2005,43,76.19047619
GAV2005,58,38.0952381
GAV2005,45,50
GAV2005,46,100
GAV2005,29,35
GAV2016,69,59.09090909
GAV2016,51,83.33333333
GAV2016,18,71.14427861
GAV2016,21,68.37209302
GAV2016,44,23.80952381
GAV2016,20,59.09090909
GAV2016,52,61.36363636
GAV2016,32,72.72727273
GAV2016,67,31.81818182
GAV2016,30,63.63636364
GAV2016,19,82.45614035
GAV2016,33,41.66666667
GAV2016,22,81.81818182
GAV2016,65,54.54545455
GAV2016,43,100
GAV2016,58,18.18181818
GAV2016,45,95.45454545
GAV2016,46,100
GAV2016,29,27.27272727
GAV2004,69,50
GAV2004,51,29.62962963
GAV2004,18,60.64814815
GAV2004,21,49.15966387
GAV2004,44,16.66666667
GAV2004,20,43.05555556
GAV2004,52,60.41666667
GAV2004,32,66.66666667
GAV2004,67,20.83333333
GAV2004,30,20.83333333
GAV2004,19,62.10526316
GAV2004,33,25
GAV2004,22,69.79166667
GAV2004,65,41.66666667
GAV2004,43,75
GAV2004,58,20.83333333
GAV2004,45,54.16666667
GAV2004,46,95.83333333
GAV2004,29,20.83333333
CIS1010,41,58.82352941
CIS1010,39,88.88888889
CIS1010,19,73.68421053
CIS1010,57,84.72222222
CIS1010,55,76.47058824
CIS1010,67,25
CIS1010,59,22.22222222
CIS1010,37,93.61702128
CIS1010,60,23.61111111
CIS1010,63,91.4893617
CIS1010,56,95.90163934
CIS1010,20,70.76167076
CIS1010,21,67.16141002
CIS1010,69,61.11111111
CIS1010,51,75
CIS1010,65,100
CIS1010,22,61.74496644
CIS1010,68,88.88888889
CIS1010,36,91.66666667
CIS1010,18,34.04255319
CIS1010,38,86.11111111
CIS1010,54,46.05263158
CIS1010,43,78.57142857
CIS1010,49,51.35135135
CIS1010,35,94.44444444
CIS1013,41,44.44444444
CIS1013,39,70.58823529
CIS1013,19,74.02985075
CIS1013,57,74.64788732
CIS1013,55,86.66666667
CIS1013,67,15.15151515
CIS1013,59,27.27272727
CIS1013,21,65.14285714
CIS1013,22,62.61904762
CIS1013,37,94.59459459
CIS1013,60,29.41176471
CIS1013,63,89.18918919
CIS1013,56,96
CIS1013,20,75.78347578
CIS1013,69,61.76470588
CIS1013,51,69.44444444
CIS1013,65,97.05882353
CIS1013,68,94.11764706
CIS1013,36,88.88888889
CIS1013,18,70.27027027
CIS1013,38,86.48648649
CIS1013,54,97.2972973
CIS1013,43,66.66666667
CIS1013,49,54.54545455
CIS1013,35,77.77777778
CIS1018,41,59.21052632
CIS1018,45,92.10526316
CIS1018,39,70.27027027
CIS1018,18,63.13253012
CIS1018,22,67.26368159
CIS1018,21,67.94453507
CIS1018,19,74.64539007
CIS1018,57,66.27906977
CIS1018,55,59.25925926
CIS1018,59,64.86486486
CIS1018,20,67.32788798
CIS1018,48,60
CIS1018,27,70.27027027
CIS1018,61,5.714285714
CIS1018,37,100
CIS1018,60,47.27272727
CIS1018,49,34.72222222
CIS1018,63,97.36842105
CIS1018,56,87.41721854
CIS1018,35,51.35135135
CIS1018,69,68
CIS1018,51,78.37837838
CIS1018,66,94.59459459
CIS1018,65,89.18918919
CIS1018,47,89.47368421
CIS1018,50,97.33333333
CIS1018,40,59.45945946
CIS1018,68,97.36842105
CIS1018,36,84.21052632
CIS1018,64,78.94736842
CIS1018,38,91.89189189
CIS1018,54,53.62318841
CIS1018,43,77.77777778
CIS1018,62,86.84210526
CIS1018,28,4.347826087
GAV4003,19,76.63551402
GAV4003,20,70.67669173
GAV4003,66,29.62962963
GAV4003,18,37.12121212
GAV4003,63,53.84615385
GAV4003,54,34.61538462
GAV4003,68,30.76923077
GAV4003,69,25
GAV4003,22,55.69620253
GAV4003,21,42.07650273
GAV4003,27,3.571428571
GAV4003,33,53.84615385
GAV4003,58,96.2962963
GAV4003,62,88.88888889
GAV4003,55,77.77777778
GAV4003,53,88.88888889
GAV4003,43,64.28571429
GAV4003,50,48.14814815
GAV4003,64,11.53846154
GAV4020,19,82.66666667
GAV4020,20,72.34042553
GAV4020,66,73.68421053
GAV4020,18,60.86956522
GAV4020,63,83.33333333
GAV4020,54,70
GAV4020,68,22.22222222
GAV4020,69,33.33333333
GAV4020,22,70.37037037
GAV4020,21,54.95495495
GAV4020,27,31.57894737
GAV4020,33,61.11111111
GAV4020,58,77.77777778
GAV4020,62,83.33333333
GAV4020,55,88.88888889
GAV4020,53,94.59459459
GAV4020,43,72.22222222
GAV4020,50,31.57894737
GAV4020,64,36.84210526
CIS4021,19,79.31034483
CIS4021,18,70.27027027
CIS4021,21,84.21052632
CIS4021,22,91.66666667
CIS4021,20,80
CIS4021,61,66.66666667
CIS4022,19,91.4893617
CIS4022,22,86.11111111
CIS4022,18,75
CIS4022,21,80.55555556
CIS4022,20,97.36842105
VIS3105,59,63.63636364
VIS3105,18,100
VIS3105,46,81.81818182
VIS3105,29,76.19047619
VIS3105,19,67.64705882
VIS3105,39,90.90909091
VIS3105,20,72.72727273
VIS3105,42,63.63636364
VIS3105,61,81.81818182
VIS3105,21,100
VIS3105,22,72.72727273
VIS3105,30,90.90909091
VIS3105,69,75
COM4077,22,88.88888889
CAM4062,18,91.66666667
CAM4062,51,83.33333333
CAM4062,40,100
CAM4062,19,97.22222222
CAM4062,21,100
CAM4062,22,100
CAM4062,32,100
CAM4061,18,91.66666667
CAM4061,51,83.33333333
CAM4061,40,100
CAM4061,19,97.22222222
CAM4061,21,100
CAM4061,22,58.33333333
CAM4061,32,100
CAM1030,19,59.94236311
CAM1030,61,45.45454545
CAM1030,18,68.89952153
CAM1030,20,54.10958904
CAM1030,22,78.06122449
CAM1030,29,83.33333333
CAM1030,21,73.70689655
CAM1030,26,79.16666667
CAM1030,49,91.30434783
CAM1030,60,65.2173913
CAM1030,59,22.72727273
CAM1030,62,36.36363636
CAM1030,55,79.16666667
CAM1030,44,91.66666667
CAM1030,66,91.66666667
CAM1030,54,75
CAM1030,45,31.81818182
CAM1030,41,73.68421053
GAV1003,66,49.07407407
GAV1003,19,51.07327905
GAV1003,38,58.33333333
GAV1003,18,54.90353698
GAV1003,67,47.22222222
GAV1003,65,59.43396226
GAV1003,20,57.22543353
GAV1003,59,69.44444444
GAV1003,21,51.40056022
GAV1003,62,60.55555556
GAV1003,68,66.35514019
GAV1003,22,57.84919654
GAV1003,35,56.33802817
GAV1003,69,57.14285714
GAV1003,44,72.22222222
GAV1003,36,97.22222222
GAV1003,58,49.30555556
GAV1003,27,35.71428571
GAV1003,45,39.62264151
GAV1003,28,54.28571429
GAV1003,32,58.33333333
GAV1003,52,42.25352113
GAV1003,47,83.33333333
GAV1003,34,57.14285714
GAV1003,26,88.88888889
GAV1003,25,54.28571429
GAV1003,51,22.85714286
GAV1003,54,44.76190476
GAV1003,61,61.32075472
GAV1003,56,45.71428571
GAV1003,42,86.48648649
GAV1003,33,51.47058824
GAV1003,41,59.15492958
GAV1003,55,80.55555556
GAV1003,64,80.55555556
GAV1003,46,38.88888889
GAV1003,53,66.1971831
GAV1003,43,66.66666667
GAV1015,66,47.2972973
GAV1015,19,56.67011375
GAV1015,38,50
GAV1015,45,63.26530612
GAV1015,21,54.96183206
GAV1015,18,58.42572062
GAV1015,67,44.68085106
GAV1015,49,34.61538462
GAV1015,65,61.84210526
GAV1015,20,65.9767141
GAV1015,59,80.39215686
GAV1015,62,67.85714286
GAV1015,22,63.76623377
GAV1015,50,84.61538462
GAV1015,68,70
GAV1015,46,52.7027027
GAV1015,29,74
GAV1015,44,52.08333333
GAV1015,69,55.55555556
GAV1015,36,88.88888889
GAV1015,35,74.50980392
GAV1015,64,80
GAV1015,58,50
GAV1015,27,44.18604651
GAV1015,28,73.91304348
GAV1015,32,91.66666667
GAV1015,52,42.55319149
GAV1015,47,78.57142857
GAV1015,34,63.63636364
GAV1015,26,61.2244898
GAV1015,25,72.72727273
GAV1015,41,48.93617021
GAV1015,56,68.62745098
GAV1015,51,43.47826087
GAV1015,54,45.83333333
GAV1015,61,73.40425532
GAV1015,42,92.30769231
GAV1015,33,45.83333333
GAV1015,55,64
GAV1015,53,70.83333333
GAV1015,23,56
GAV1015,43,25
GAV1009,66,50
GAV1009,20,61.54992548
GAV1009,45,50
GAV1009,19,59.08496732
GAV1009,61,55.88235294
GAV1009,67,11.53846154
GAV1009,22,67.86941581
GAV1009,49,27.5862069
GAV1009,65,53.84615385
GAV1009,62,88.60759494
GAV1009,21,62.04081633
GAV1009,50,65.38461538
GAV1009,46,47.16981132
GAV1009,18,59.52023988
GAV1009,44,15.38461538
GAV1009,69,34.61538462
GAV1009,36,96.15384615
GAV1009,35,98.07692308
GAV1009,64,81.13207547
GAV1009,29,92.30769231
GAV1009,27,55.55555556
